"CutConfig","Name","SourceLibrary","Type","Diameter_mm","Flutes","FluteLen_mm","LenBelowHolder_mm","CornerRad_mm","OAL_mm","Material"
"Aluminum (Metric)","40mm 6F Face","Aluminium Metric Tools","face mill","40","6","6","50","0","130","carbide"
"Aluminum (Metric)","12mm 3F Bull  R0.75","Aluminium Metric Tools","bull nose end mill","12","3","25","45","0.75","70","carbide"
"Aluminum (Metric)","12mm 5F Flat","Aluminium Metric Tools","flat end mill","12","5","50","60",,"102","carbide"
"Aluminum (Metric)","8mm 3F Bull  R0.5","Aluminium Metric Tools","bull nose end mill","8","3","22","35","0.5","70","carbide"
"Aluminum (Metric)","8mm 5F Flat","Aluminium Metric Tools","flat end mill","8","5","20","35",,"70","carbide"
"Aluminum (Metric)","5mm 3F Bull  R0.25","Aluminium Metric Tools","bull nose end mill","5","3","12","20","0.25","50","carbide"
"Aluminum (Metric)","5mm 4F Flat","Aluminium Metric Tools","flat end mill","5","4","16","25",,"50","carbide"
"Aluminum (Metric)","3mm 3F Flat","Aluminium Metric Tools","flat end mill","3","3","8","15",,"35","carbide"
"Aluminum (Metric)","1.5mm 2F Flat","Aluminium Metric Tools","flat end mill","1.5","2","3","10",,"40","carbide"
"Aluminum (Metric)","10mm 3F Ball","Aluminium Metric Tools","ball end mill","10","3","20","40",,"70","carbide"
"Aluminum (Metric)","6mm 4F Ball","Aluminium Metric Tools","ball end mill","6","4","12","25",,"42","carbide"
"Aluminum (Metric)","3mm 3F Ball","Aluminium Metric Tools","ball end mill","3","3","5","15",,"31","carbide"
"Aluminum (Metric)","6mm 4F Chamfer  41??","Aluminium Metric Tools","chamfer mill","6","4","3","18",,"55","ti coated"
"Aluminum (Metric)","8mm 4F Chamfer  45??","Aluminium Metric Tools","chamfer mill","8","4","4","20",,"55","ti coated"
"Aluminum (Metric)","16mm Countersink 82??","Countersinks (Metric)","counter sink","16","3","6","25",,"50","carbide"
"Aluminum (Metric)","16mm Countersink 90??","Countersinks (Metric)","counter sink","16","3","6","25",,"50","carbide"
"Aluminum (Metric)","14mm Countersink 90??","Countersinks (Metric)","counter sink","14","4","7","25",,"50","carbide"
"Aluminum (Metric)","14mm Countersink 90??","Countersinks (Metric)","counter sink","14","3","5","25",,"50","carbide"
"Aluminum (Metric)","12mm Countersink 82??","Countersinks (Metric)","counter sink","12","4","4","25",,"50","carbide"
"Aluminum (Metric)","12mm Countersink 90??","Countersinks (Metric)","counter sink","12","3","4","25",,"50","carbide"
"Aluminum (Metric)","12mm Countersink 120??","Countersinks (Metric)","counter sink","12","4","3.4","25",,"50","carbide"
"Aluminum (Metric)","10mm Countersink 90??","Countersinks (Metric)","counter sink","10","4","5","25",,"50","carbide"
"Aluminum (Metric)","10mm Countersink 90??","Countersinks (Metric)","counter sink","10","3","3","25",,"50","carbide"
"Aluminum (Metric)","10mm Countersink 82??","Countersinks (Metric)","counter sink","10","4","5","25",,"50","carbide"
"Aluminum (Metric)","10mm Countersink 120??","Countersinks (Metric)","counter sink","10","4","2.8","25",,"50","carbide"
"Aluminum (Metric)","8mm Countersink 90??","Countersinks (Metric)","counter sink","8","4","4","25",,"50","carbide"
"Aluminum (Metric)","8mm Countersink 120??","Countersinks (Metric)","counter sink","8","4","2.3","25",,"50","carbide"
"Aluminum (Metric)","6mm Countersink 90??","Countersinks (Metric)","counter sink","6","4","3","25",,"50","carbide"
"Aluminum (Metric)","6mm Countersink 82??","Countersinks (Metric)","counter sink","6","4","3","25",,"50","carbide"
"Aluminum (Metric)","6mm Countersink 120??","Countersinks (Metric)","counter sink","6","4","1.7","25",,"50","carbide"
"Aluminum (Metric)","3mm Countersink 90??","Countersinks (Metric)","counter sink","3","4","1.5","15",,"40","carbide"
"Aluminum (Metric)","3mm Countersink 82??","Countersinks (Metric)","counter sink","3","4","2.5","15",,"40","carbide"
"Aluminum (Metric)","Harvey 0.06"" 3F Ball","Harvey General Use Endmills 3 Flute","ball end mill","0.06","3","0.09","1.5",,"2.5","carbide"
"Aluminum (Metric)","Harvey 0.01"" 3F Ball","Harvey General Use Endmills 3 Flute","ball end mill","0.01","3","0.05","0.36308",,"2.5","carbide"
"Aluminum (Metric)","Harvey 0.093"" 3F Bull R0.01","Harvey General Use Endmills 3 Flute","bull nose end mill","0.093","3","0.279","0.36921","0.01","1.5","carbide"
"Aluminum (Metric)","Harvey 0.06"" 3F Ball","Harvey General Use Endmills 3 Flute","ball end mill","0.06","3","0.09","1.5",,"2.5","carbide"
"Aluminum (Metric)","Harvey 0.035"" 3F Flat","Harvey General Use Endmills 3 Flute","flat end mill","0.035","3","0.35","0.509",,"2.5","carbide"
"Aluminum (Metric)","Harvey 0.093"" 3F Bull R0.012","Harvey General Use Endmills 3 Flute","bull nose end mill","0.093","3","0.139","0.62052","0.012","2.5","carbide"
"Aluminum (Metric)","Harvey 0.017"" 3F Flat","Harvey General Use Endmills 3 Flute","flat end mill","0.017","3","0.051","0.20703",,"1.5","carbide"
"Aluminum (Metric)","Harvey 0.016"" 3F Flat","Harvey General Use Endmills 3 Flute","flat end mill","0.016","3","0.048","0.2049",,"1.5","carbide"
"Aluminum (Metric)","Harvey 1/8"" 3F Bull R0.03","Harvey General Use Endmills 3 Flute","bull nose end mill","0.125","3","0.187","1.06596","0.03","2.5","carbide"
"Aluminum (Metric)","Harvey 0.03"" 3F Ball","Harvey General Use Endmills 3 Flute","ball end mill","0.03","3","0.15","0.52878",,"2.5","carbide"
"Aluminum (Metric)","Harvey 0.055"" 3F Ball","Harvey General Use Endmills 3 Flute","ball end mill","0.055","3","0.275","0.41256",,"2.5","carbide"
"Aluminum (Metric)","Harvey 5/64"" 3F Flat","Harvey General Use Endmills 3 Flute","flat end mill","0.078","3","0.475","0.5879",,"2.5","carbide"
"Aluminum (Metric)","Harvey 0.02"" 3F Flat","Harvey General Use Endmills 3 Flute","flat end mill","0.02","3","0.03","0.32576",,"2.5","carbide"
"Aluminum (Metric)","Harvey 7/32"" 3F Flat","Harvey General Use Endmills 3 Flute","flat end mill","0.2187","3","0.33","1.93736",,"4","carbide"
"Aluminum (Metric)","Harvey 0.08"" 3F Bull R0.005","Harvey General Use Endmills 3 Flute","bull nose end mill","0.08","3","0.12","0.54904","0.005","2.5","carbide"
"Aluminum (Metric)","Harvey 0.09"" 3F Flat","Harvey General Use Endmills 3 Flute","flat end mill","0.09","3","0.75","1.37572",,"2.5","carbide"
"Aluminum (Metric)","Harvey 1/16"" 3F Bull R0.02","Harvey General Use Endmills 3 Flute","bull nose end mill","0.062","3","0.093","0.67422","0.02","2.5","carbide"
"Aluminum (Metric)","Harvey 0.06"" 3F Flat","Harvey General Use Endmills 3 Flute","flat end mill","0.06","3","0.09","0.89768",,"2.5","carbide"
"Aluminum (Metric)","Harvey 3/16"" 3F Bull R0.01","Harvey General Use Endmills 3 Flute","bull nose end mill","0.1875","3","0.281","1.09765","0.01","3","carbide"
"Aluminum (Metric)","Harvey 0.02"" 3F Flat","Harvey General Use Endmills 3 Flute","flat end mill","0.02","3","0.2","0.37509",,"2.5","carbide"
"Aluminum (Metric)","Harvey 0.045"" 3F Flat","Harvey General Use Endmills 3 Flute","flat end mill","0.045","3","0.067","0.19878",,"1.5","carbide"
"Aluminum (Metric)","Harvey 5/64"" 3F Flat","Harvey General Use Endmills 3 Flute","flat end mill","0.078","3","0.117","0.3805",,"2.5","carbide"
"Aluminum (Metric)","Harvey 0.118"" 3F Flat","Harvey General Use Endmills 3 Flute","flat end mill","0.118","3","0.177","0.70222",,"2.5","carbide"
"Aluminum (Metric)","Harvey 0.01"" 3F Flat","Harvey General Use Endmills 3 Flute","flat end mill","0.01","3","0.015","0.17709",,"1.5","carbide"
"Aluminum (Metric)","Harvey 0.109"" 3F Flat","Harvey General Use Endmills 3 Flute","flat end mill","0.109","3","0.163","1.40482",,"3","carbide"
"Aluminum (Metric)","Harvey 0.03"" 3F Flat","Harvey General Use Endmills 3 Flute","flat end mill","0.03","3","0.045","0.18977",,"1.5","carbide"
"Aluminum (Metric)","Harvey 0.055"" 3F Flat","Harvey General Use Endmills 3 Flute","flat end mill","0.055","3","0.385","0.95634",,"2.5","carbide"
"Aluminum (Metric)","Harvey 0.015"" 3F Flat","Harvey General Use Endmills 3 Flute","flat end mill","0.015","3","0.045","0.20276",,"1.5","carbide"
"Aluminum (Metric)","Harvey 0.06"" 3F Bull R0.01","Harvey General Use Endmills 3 Flute","bull nose end mill","0.06","3","0.09","0.48968","0.01","2.5","carbide"
"Aluminum (Metric)","Harvey 0.015"" 3F Flat","Harvey General Use Endmills 3 Flute","flat end mill","0.015","3","0.022","0.47942",,"2.5","carbide"
"Aluminum (Metric)","Harvey 0.25"" 3F Bull R0.01","Harvey General Use Endmills 3 Flute","bull nose end mill","0.25","3","0.375","1.37846","0.01","4","carbide"
"Aluminum (Metric)","Harvey 0.035"" 3F Flat","Harvey General Use Endmills 3 Flute","flat end mill","0.035","3","0.281","0.44",,"2.5","carbide"
"Aluminum (Metric)","Harvey 0.013"" 3F Flat","Harvey General Use Endmills 3 Flute","flat end mill","0.013","3","0.019","0.32288",,"2.5","carbide"
"Aluminum (Metric)","Harvey 0.065"" 3F Flat","Harvey General Use Endmills 3 Flute","flat end mill","0.065","3","0.097","0.96902",,"2.5","carbide"
"Aluminum (Metric)","Harvey 1/8"" 3F Bull R0.01","Harvey General Use Endmills 3 Flute","bull nose end mill","0.125","3","0.187","1.56596","0.01","3","carbide"
"Aluminum (Metric)","Harvey 0.055"" 3F Flat","Harvey General Use Endmills 3 Flute","flat end mill","0.055","3","0.082","0.51634",,"2.5","carbide"
"Aluminum (Metric)","Harvey 3/16"" 3F Bull R0.008","Harvey General Use Endmills 3 Flute","bull nose end mill","0.1875","3","0.625","0.71875","0.008","2","carbide"
"Aluminum (Metric)","Harvey 0.08"" 3F Flat","Harvey General Use Endmills 3 Flute","flat end mill","0.08","3","0.75","1.39304",,"2.5","carbide"
"Aluminum (Metric)","Harvey 5/32"" 3F Bull R0.03","Harvey General Use Endmills 3 Flute","bull nose end mill","0.1562","3","0.562","0.6714","0.03","2","carbide"
"Aluminum (Metric)","Harvey 0.08"" 3F Ball","Harvey General Use Endmills 3 Flute","ball end mill","0.08","3","0.12","0.26647",,"1.5","carbide"
"Aluminum (Metric)","Harvey 0.065"" 3F Flat","Harvey General Use Endmills 3 Flute","flat end mill","0.065","3","0.098","0.69902",,"2.5","carbide"
"Aluminum (Metric)","Harvey 0.017"" 3F Flat","Harvey General Use Endmills 3 Flute","flat end mill","0.017","3","0.026","0.38694",,"2.5","carbide"
"Aluminum (Metric)","Harvey 0.015"" 3F Ball","Harvey General Use Endmills 3 Flute","ball end mill","0.015","3","0.023","0.34742",,"2.5","carbide"
"Aluminum (Metric)","Harvey 0.25"" 3F Bull R0.015","Harvey General Use Endmills 3 Flute","bull nose end mill","0.25","3","0.75","0.875","0.015","2.5","carbide"
"Aluminum (Metric)","Harvey 0.07"" 3F Flat","Harvey General Use Endmills 3 Flute","flat end mill","0.07","3","0.85","0.97147",,"2.5","carbide"
"Aluminum (Metric)","Harvey 0.02"" 3F Flat","Harvey General Use Endmills 3 Flute","flat end mill","0.02","3","0.03","0.8461",,"2.5","carbide"
"Aluminum (Metric)","Harvey 0.25"" 3F Flat","Harvey General Use Endmills 3 Flute","flat end mill","0.25","3","0.375","2.62846",,"4","carbide"
"Aluminum (Metric)","Harvey 0.25"" 3F Bull R0.045","Harvey General Use Endmills 3 Flute","bull nose end mill","0.25","3","0.375","1.37846","0.045","4","carbide"
"Aluminum (Metric)","Harvey 0.031"" 3F Bull R0.01","Harvey General Use Endmills 3 Flute","bull nose end mill","0.031","3","0.046","0.38304","0.01","2.5","carbide"
"Aluminum (Metric)","Harvey 0.027"" 3F Ball","Harvey General Use Endmills 3 Flute","ball end mill","0.027","3","0.041","0.44998",,"2.5","carbide"
"Aluminum (Metric)","Harvey 3/16"" 3F Ball","Harvey General Use Endmills 3 Flute","ball end mill","0.1875","3","0.625","0.71875",,"2","carbide"
"Aluminum (Metric)","Harvey 0.03"" 3F Flat","Harvey General Use Endmills 3 Flute","flat end mill","0.03","3","0.218","0.38236",,"2.5","carbide"
"Aluminum (Metric)","Harvey 0.093"" 3F Ball","Harvey General Use Endmills 3 Flute","ball end mill","0.093","3","0.139","1.99552",,"4","carbide"
"Aluminum (Metric)","Harvey 13/64"" 3F Flat","Harvey General Use Endmills 3 Flute","flat end mill","0.2031","3","0.312","1.83834",,"4","carbide"
"Aluminum (Metric)","Harvey 1/8"" 3F Flat","Harvey General Use Endmills 3 Flute","flat end mill","0.125","3","0.187","2.31596",,"4","carbide"
"Aluminum (Metric)","Harvey 0.031"" 3F Ball","Harvey General Use Endmills 3 Flute","ball end mill","0.031","3","0.046","0.53904",,"2.5","carbide"
"Aluminum (Metric)","Harvey 3/16"" 3F Bull R0.06","Harvey General Use Endmills 3 Flute","bull nose end mill","0.1875","3","0.625","0.71875","0.06","2","carbide"
"Aluminum (Metric)","Harvey 0.093"" 3F Bull R0.02","Harvey General Use Endmills 3 Flute","bull nose end mill","0.093","3","0.14","0.23021","0.02","1.5","carbide"
"Aluminum (Metric)","Harvey 0.047"" 3F Ball","Harvey General Use Endmills 3 Flute","ball end mill","0.047","3","0.25","0.7002",,"2.5","carbide"
"Aluminum (Metric)","Harvey 0.093"" 3F Flat","Harvey General Use Endmills 3 Flute","flat end mill","0.093","3","0.139","0.39952",,"2.5","carbide"
"Aluminum (Metric)","Harvey 0.014"" 3F Ball","Harvey General Use Endmills 3 Flute","ball end mill","0.014","3","0.021","0.36814",,"2.5","carbide"
"Aluminum (Metric)","Harvey 0.04"" 3F Flat","Harvey General Use Endmills 3 Flute","flat end mill","0.04","3","0.2","0.61232",,"2.5","carbide"
"Aluminum (Metric)","Harvey 5/32"" 3F Ball","Harvey General Use Endmills 3 Flute","ball end mill","0.1562","3","0.234","1.40523",,"3","carbide"
"Aluminum (Metric)","Harvey 1/16"" 3F Ball","Harvey General Use Endmills 3 Flute","ball end mill","0.062","3","0.093","0.36022",,"2.5","carbide"
"Aluminum (Metric)","Harvey 0.25"" 3F Bull R0.03","Harvey General Use Endmills 3 Flute","bull nose end mill","0.25","3","0.375","1.37846","0.03","4","carbide"
"Aluminum (Metric)","Harvey 0.093"" 3F Ball","Harvey General Use Endmills 3 Flute","ball end mill","0.093","3","0.67","0.76681",,"2.5","carbide"
"Aluminum (Metric)","Harvey 0.25"" 3F Flat","Harvey General Use Endmills 3 Flute","flat end mill","0.25","3","1.5","1.625",,"4","carbide"
"Aluminum (Metric)","Harvey 0.008"" 3F Flat","Harvey General Use Endmills 3 Flute","flat end mill","0.008","3","0.024","0.18782",,"1.5","carbide"
"Aluminum (Metric)","Harvey 0.015"" 3F Flat","Harvey General Use Endmills 3 Flute","flat end mill","0.015","3","0.022","0.34742",,"2.5","carbide"
"Aluminum (Metric)","Harvey 0.118"" 3F Flat","Harvey General Use Endmills 3 Flute","flat end mill","0.118","3","0.177","2.20222",,"4","carbide"
"Aluminum (Metric)","Harvey 0.105"" 3F Flat","Harvey General Use Endmills 3 Flute","flat end mill","0.105","3","0.158","0.94974",,"2.5","carbide"
"Aluminum (Metric)","Harvey 0.039"" 3F Flat","Harvey General Use Endmills 3 Flute","flat end mill","0.039","3","0.058","0.19498",,"1.5","carbide"
"Aluminum (Metric)","Harvey 0.031"" 3F Ball","Harvey General Use Endmills 3 Flute","ball end mill","0.031","3","0.047","0.35204",,"2.5","carbide"
"Aluminum (Metric)","Harvey 0.015"" 3F Flat","Harvey General Use Endmills 3 Flute","flat end mill","0.015","3","0.187","0.36745",,"2.5","carbide"
"Aluminum (Metric)","Harvey 0.25"" 3F Ball","Harvey General Use Endmills 3 Flute","ball end mill","0.25","3","1.5","2.1263",,"4","carbide"
"Aluminum (Metric)","Harvey 0.25"" 3F Ball","Harvey General Use Endmills 3 Flute","ball end mill","0.25","3","0.375","2.12846",,"4","carbide"
"Aluminum (Metric)","Harvey 1/8"" 3F Flat","Harvey General Use Endmills 3 Flute","flat end mill","0.125","3","0.187","1.56596",,"3","carbide"
"Aluminum (Metric)","Harvey 0.01"" 3F Flat","Harvey General Use Endmills 3 Flute","flat end mill","0.01","3","0.015","0.38808",,"2.5","carbide"
"Aluminum (Metric)","Harvey 5/64"" 3F Bull R0.015","Harvey General Use Endmills 3 Flute","bull nose end mill","0.078","3","0.117","0.5525","0.015","2.5","carbide"
"Aluminum (Metric)","Harvey 0.023"" 3F Ball","Harvey General Use Endmills 3 Flute","ball end mill","0.023","3","0.035","0.3559",,"2.5","carbide"
"Aluminum (Metric)","Harvey 0.02"" 3F Flat","Harvey General Use Endmills 3 Flute","flat end mill","0.02","3","0.03","0.44576",,"2.5","carbide"
"Aluminum (Metric)","Harvey 0.031"" 3F Flat","Harvey General Use Endmills 3 Flute","flat end mill","0.031","3","0.187","0.35029",,"2.5","carbide"
"Aluminum (Metric)","Harvey 0.06"" 3F Flat","Harvey General Use Endmills 3 Flute","flat end mill","0.06","3","0.09","0.20879",,"2.5","carbide"
"Aluminum (Metric)","Harvey 0.031"" 3F Flat","Harvey General Use Endmills 3 Flute","flat end mill","0.031","3","0.046","0.50804",,"2.5","carbide"
"Aluminum (Metric)","Harvey 0.015"" 3F Flat","Harvey General Use Endmills 3 Flute","flat end mill","0.015","3","0.093","0.27345",,"2.5","carbide"
"Aluminum (Metric)","Harvey 0.08"" 3F Flat","Harvey General Use Endmills 3 Flute","flat end mill","0.08","3","0.12","0.79304",,"2.5","carbide"
"Aluminum (Metric)","Harvey 1/16"" 3F Bull R0.015","Harvey General Use Endmills 3 Flute","bull nose end mill","0.062","3","0.093","0.48622","0.015","2.5","carbide"
"Aluminum (Metric)","Harvey 0.1"" 3F Flat","Harvey General Use Endmills 3 Flute","flat end mill","0.1","3","0.15","0.9084",,"2.5","carbide"
"Aluminum (Metric)","Harvey 0.015"" 3F Ball","Harvey General Use Endmills 3 Flute","ball end mill","0.015","3","0.023","0.36342",,"2.5","carbide"
"Aluminum (Metric)","Harvey 0.024"" 3F Flat","Harvey General Use Endmills 3 Flute","flat end mill","0.024","3","0.072","0.22197",,"1.5","carbide"
"Aluminum (Metric)","Harvey 0.085"" 3F Ball","Harvey General Use Endmills 3 Flute","ball end mill","0.085","3","0.127","0.55938",,"2.5","carbide"
"Aluminum (Metric)","Harvey 1/8"" 3F Ball","Harvey General Use Endmills 3 Flute","ball end mill","0.125","3","0.375","0.4375",,"1.5","carbide"
"Aluminum (Metric)","Harvey 0.05"" 3F Ball","Harvey General Use Endmills 3 Flute","ball end mill","0.05","3","0.15","0.35245",,"1.5","carbide"
"Aluminum (Metric)","Harvey 0.06"" 3F Flat","Harvey General Use Endmills 3 Flute","flat end mill","0.06","3","0.5","1.17768",,"2.5","carbide"
"Aluminum (Metric)","Harvey 0.031"" 3F Flat","Harvey General Use Endmills 3 Flute","flat end mill","0.031","3","0.047","0.38304",,"2.5","carbide"
"Aluminum (Metric)","Harvey 0.055"" 3F Flat","Harvey General Use Endmills 3 Flute","flat end mill","0.055","3","0.082","1.01134",,"2.5","carbide"
"Aluminum (Metric)","Harvey 1/8"" 3F Ball","Harvey General Use Endmills 3 Flute","ball end mill","0.125","3","0.75","0.8125",,"2.5","carbide"
"Aluminum (Metric)","Harvey 0.045"" 3F Flat","Harvey General Use Endmills 3 Flute","flat end mill","0.045","3","0.067","0.75366",,"2.5","carbide"
"Aluminum (Metric)","Harvey 0.045"" 3F Ball","Harvey General Use Endmills 3 Flute","ball end mill","0.045","3","0.067","0.75366",,"2.5","carbide"
"Aluminum (Metric)","Harvey 0.05"" 3F Flat","Harvey General Use Endmills 3 Flute","flat end mill","0.05","3","0.075","0.645",,"2.5","carbide"
"Aluminum (Metric)","Harvey 0.25"" 3F Bull R0.015","Harvey General Use Endmills 3 Flute","bull nose end mill","0.25","3","0.375","1.37846","0.015","4","carbide"
"Aluminum (Metric)","Harvey 0.109"" 3F Flat","Harvey General Use Endmills 3 Flute","flat end mill","0.109","3","0.9","0.97966",,"2.5","carbide"
"Aluminum (Metric)","Harvey 0.019"" 3F Flat","Harvey General Use Endmills 3 Flute","flat end mill","0.019","3","0.029","0.39948",,"2.5","carbide"
"Aluminum (Metric)","Harvey 0.031"" 3F Flat","Harvey General Use Endmills 3 Flute","flat end mill","0.031","3","0.046","0.79204",,"2.5","carbide"
"Aluminum (Metric)","Harvey 0.04"" 3F Flat","Harvey General Use Endmills 3 Flute","flat end mill","0.04","3","0.06","0.61232",,"2.5","carbide"
"Aluminum (Metric)","Harvey 0.25"" 3F Flat","Harvey General Use Endmills 3 Flute","flat end mill","0.25","3","0.375","0.5",,"4","carbide"
"Aluminum (Metric)","Harvey 1/8"" 3F Ball","Harvey General Use Endmills 3 Flute","ball end mill","0.125","3","0.187","3.81596",,"6","carbide"
"Aluminum (Metric)","Harvey 1/16"" 3F Flat","Harvey General Use Endmills 3 Flute","flat end mill","0.062","3","0.093","0.67422",,"2.5","carbide"
"Aluminum (Metric)","Harvey 0.065"" 3F Ball","Harvey General Use Endmills 3 Flute","ball end mill","0.065","3","0.097","0.49402",,"2.5","carbide"
"Aluminum (Metric)","Harvey 1/16"" 3F Flat","Harvey General Use Endmills 3 Flute","flat end mill","0.062","3","0.093","0.79922",,"2.5","carbide"
"Aluminum (Metric)","Harvey 0.035"" 3F Flat","Harvey General Use Endmills 3 Flute","flat end mill","0.035","3","0.052","0.74512",,"2.5","carbide"
"Aluminum (Metric)","Harvey 0.055"" 3F Ball","Harvey General Use Endmills 3 Flute","ball end mill","0.055","3","0.082","0.74634",,"2.5","carbide"
"Aluminum (Metric)","Harvey 0.25"" 3F Bull R0.04","Harvey General Use Endmills 3 Flute","bull nose end mill","0.25","3","0.75","0.875","0.04","2.5","carbide"
"Aluminum (Metric)","Harvey 0.03"" 3F Flat","Harvey General Use Endmills 3 Flute","flat end mill","0.03","3","0.045","0.54078",,"2.5","carbide"
"Aluminum (Metric)","Harvey 5/64"" 3F Flat","Harvey General Use Endmills 3 Flute","flat end mill","0.078","3","0.117","0.4585",,"2.5","carbide"
"Aluminum (Metric)","Harvey 0.031"" 3F Ball","Harvey General Use Endmills 3 Flute","ball end mill","0.031","3","0.047","0.41404",,"2.5","carbide"
"Aluminum (Metric)","Harvey 0.047"" 3F Flat","Harvey General Use Endmills 3 Flute","flat end mill","0.047","3","0.07","1.1502",,"2.5","carbide"
"Aluminum (Metric)","Harvey 0.035"" 3F Flat","Harvey General Use Endmills 3 Flute","flat end mill","0.035","3","0.052","0.32512",,"2.5","carbide"
"Aluminum (Metric)","Harvey 5/64"" 3F Ball","Harvey General Use Endmills 3 Flute","ball end mill","0.078","3","0.117","1.3335",,"2.5","carbide"
"Aluminum (Metric)","Harvey 0.109"" 3F Ball","Harvey General Use Endmills 3 Flute","ball end mill","0.109","3","0.375","0.46736",,"1.5","carbide"
"Aluminum (Metric)","Harvey 0.093"" 3F Ball","Harvey General Use Endmills 3 Flute","ball end mill","0.093","3","0.75","0.84681",,"2.5","carbide"
"Aluminum (Metric)","Harvey 0.047"" 3F Ball","Harvey General Use Endmills 3 Flute","ball end mill","0.047","3","0.375","0.52114",,"2.5","carbide"
"Aluminum (Metric)","Harvey 0.039"" 3F Flat","Harvey General Use Endmills 3 Flute","flat end mill","0.039","3","0.325","0.47971",,"2.5","carbide"
"Aluminum (Metric)","Harvey 0.1"" 3F Flat","Harvey General Use Endmills 3 Flute","flat end mill","0.1","3","0.5","0.58931",,"2.5","carbide"
"Aluminum (Metric)","Harvey 3/16"" 3F Bull R0.02","Harvey General Use Endmills 3 Flute","bull nose end mill","0.187","3","0.281","1.10155","0.02","3","carbide"
"Aluminum (Metric)","Harvey 0.031"" 3F Flat","Harvey General Use Endmills 3 Flute","flat end mill","0.031","3","0.046","0.60204",,"2.5","carbide"
"Aluminum (Metric)","Harvey 0.095"" 3F Flat","Harvey General Use Endmills 3 Flute","flat end mill","0.095","3","0.75","0.84467",,"2.5","carbide"
"Aluminum (Metric)","Harvey 0.05"" 3F Flat","Harvey General Use Endmills 3 Flute","flat end mill","0.05","3","0.3","0.795",,"2.5","carbide"
"Aluminum (Metric)","Harvey 0.02"" 3F Flat","Harvey General Use Endmills 3 Flute","flat end mill","0.02","3","0.03","0.60576",,"2.5","carbide"
"Aluminum (Metric)","Harvey 0.118"" 3F Flat","Harvey General Use Endmills 3 Flute","flat end mill","0.118","3","0.177","0.24556",,"1.5","carbide"
"Aluminum (Metric)","Harvey 0.118"" 3F Ball","Harvey General Use Endmills 3 Flute","ball end mill","0.118","3","0.177","0.25256",,"1.5","carbide"
"Aluminum (Metric)","Harvey 5/64"" 3F Bull R0.02","Harvey General Use Endmills 3 Flute","bull nose end mill","0.078","3","0.117","0.5525","0.02","2.5","carbide"
"Aluminum (Metric)","Harvey 3/16"" 3F Bull R0.01","Harvey General Use Endmills 3 Flute","bull nose end mill","0.1875","3","0.625","0.71875","0.01","2","carbide"
"Aluminum (Metric)","Harvey 1/8"" 3F Bull R0.025","Harvey General Use Endmills 3 Flute","bull nose end mill","0.125","3","0.187","0.69096","0.025","2.5","carbide"
"Aluminum (Metric)","Harvey 0.02"" 3F Ball","Harvey General Use Endmills 3 Flute","ball end mill","0.02","3","0.03","0.44576",,"2.5","carbide"
"Aluminum (Metric)","Harvey 1/8"" 3F Bull R0.01","Harvey General Use Endmills 3 Flute","bull nose end mill","0.125","3","0.187","0.69096","0.01","2.5","carbide"
"Aluminum (Metric)","Harvey 0.047"" 3F Bull R0.015","Harvey General Use Endmills 3 Flute","bull nose end mill","0.047","3","0.141","0.27105","0.015","1.5","carbide"
"Aluminum (Metric)","Harvey 0.095"" 3F Flat","Harvey General Use Endmills 3 Flute","flat end mill","0.095","3","0.142","1.26706",,"2.5","carbide"
"Aluminum (Metric)","Harvey 0.03"" 3F Ball","Harvey General Use Endmills 3 Flute","ball end mill","0.03","3","0.15","0.52878",,"2.5","carbide"
"Aluminum (Metric)","Harvey 0.1"" 3F Flat","Harvey General Use Endmills 3 Flute","flat end mill","0.1","3","0.15","0.6084",,"2.5","carbide"
"Aluminum (Metric)","Harvey 0.047"" 3F Bull R0.01","Harvey General Use Endmills 3 Flute","bull nose end mill","0.047","3","0.07","0.5752","0.01","2.5","carbide"
"Aluminum (Metric)","Harvey 0.093"" 3F Flat","Harvey General Use Endmills 3 Flute","flat end mill","0.093","3","0.139","1.07052",,"2.5","carbide"
"Aluminum (Metric)","Harvey 0.1"" 3F Ball","Harvey General Use Endmills 3 Flute","ball end mill","0.1","3","0.75","1.3584",,"2.5","carbide"
"Aluminum (Metric)","Harvey 0.109"" 3F Ball","Harvey General Use Endmills 3 Flute","ball end mill","0.109","3","0.9","0.97966",,"2.5","carbide"
"Aluminum (Metric)","Harvey 0.25"" 3F Flat","Harvey General Use Endmills 3 Flute","flat end mill","0.25","3","1.5","2.1263",,"4","carbide"
"Aluminum (Metric)","Harvey 0.017"" 3F Flat","Harvey General Use Endmills 3 Flute","flat end mill","0.017","3","0.026","0.33594",,"2.5","carbide"
"Aluminum (Metric)","Harvey 5/64"" 3F Flat","Harvey General Use Endmills 3 Flute","flat end mill","0.078","3","0.234","0.3372",,"1.5","carbide"
"Aluminum (Metric)","Harvey 0.035"" 3F Ball","Harvey General Use Endmills 3 Flute","ball end mill","0.035","3","0.052","0.40712",,"2.5","carbide"
"Aluminum (Metric)","Harvey 1/8"" 3F Flat","Harvey General Use Endmills 3 Flute","flat end mill","0.125","3","0.187","1.94096",,"3","carbide"
"Aluminum (Metric)","Harvey 5/64"" 3F Flat","Harvey General Use Endmills 3 Flute","flat end mill","0.078","3","0.118","0.7715",,"2.5","carbide"
